LineId,Date,Time,time_zone,Level,Component,log_tag,Content,EventId,EventTemplate
43,2021-12-20,15:50:35.822,PST,INFO,26127-1,TFAMain,Starting the Non Root Connection Acceptor thread,a09e78f9,Starting the Non Root Connection Acceptor thread
44,2021-12-20,15:50:35.822,PST,INFO,26127-22,ConnectionAcceptor,Connection Acceptor Thread started,5d0f22bb,Connection Acceptor Thread started
45,2021-12-20,15:50:35.822,PST,INFO,26127-22,ConnectionAcceptor,Setting port in ConnectionAcceptor 5000,f9021f98,Setting port in ConnectionAcceptor <*>
46,2021-12-20,15:50:35.828,PST,INFO,26127-23,NonRootConnectionAcceptor,InetAddress localhost/127.0.0.1,546b61e8,InetAddress localhost<*>
47,2021-12-20,15:50:35.828,PST,INFO,26127-23,NonRootConnectionAcceptor,Local Port 51378,484b6d23,Local Port <*>
48,2021-12-20,15:50:36.154,PST,INFO,26127-22,ConnectionAcceptor,"EnabledProtocol :  TLSv1.3, TLSv1.2",5fe6e6bc,"EnabledProtocol : TLSv<*>.<*>, TLSv<*>.<*>"
49,2021-12-20,15:50:36.155,PST,INFO,26127-22,ConnectionAcceptor,Inet Address : den00xrz/10.88.56.189,e9215582,Inet Address : <*>
50,2021-12-20,15:50:36.155,PST,INFO,26127-22,ConnectionAcceptor,Port : 5000,590c12d2,Port : <*>
51,2021-12-20,15:50:36.156,PST,INFO,26127-22,ConnectionAcceptor,Cipher Suite Enabled : TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,9d073060,Cipher Suite Enabled : TLS<*>SHA<*>
52,2021-12-20,15:50:36.156,PST,INFO,26127-22,ConnectionAcceptor,Cipher Suite Enabled : TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,9d073060,Cipher Suite Enabled : TLS<*>SHA<*>
53,2021-12-20,15:50:36.317,PST,INFO,26127-1,TFAMain,Starting the TFAMonitor thread...,3c78f661,Starting the <*> thread...
54,2021-12-20,15:50:36.321,PST,INFO,26127-1,TFAMain,Reading tfa_directories.txt...,27161f8c,Reading tfa_directories.txt...
55,2021-12-20,15:50:36.472,PST,INFO,26127-1,TFADirectoryManager,"Successfully added directory : /var/log| OS, RACDBCLOUD, ODASTORAGE, ACFS |null||",20f5f451,Successfully added directory : <*>
56,2021-12-20,15:50:37.479,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /var/adm| OS |null||,20f5f451,Successfully added directory : <*>
57,2021-12-20,15:50:37.492,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /etc/oracle| CRS |null||,20f5f451,Successfully added directory : <*>
58,2021-12-20,15:50:39.449,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /ade/aime1_den00xrz/oracle/work| RDBMS |null||,20f5f451,Successfully added directory : <*>
59,2021-12-20,15:50:39.460,PST,INFO,26127-1,TFADirectoryManager,"Successfully added directory : /scratch/u01/app/db/product/cfgtoollogs| CFGTOOLS, ODAPATCHING |null||",20f5f451,Successfully added directory : <*>
60,2021-12-20,15:50:39.477,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/db/product/install| INSTALL |null||,20f5f451,Successfully added directory : <*>
61,2021-12-20,15:50:39.487,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/db/product/rdbms/log| RDBMS |null|orcl|orcl1,20f5f451,Successfully added directory : <*>
62,2021-12-20,15:50:39.510,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/db_base/diag/clients/user_oradb/host_1524602613_110/cdump| DBCLIENT |{DBCLIENT|instance=user_oradb}|user_oradb|user_oradb,20f5f451,Successfully added directory : <*>
63,2021-12-20,15:50:39.518,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/db_base/diag/clients/user_oradb/host_1524602613_110/trace| DBCLIENT |{DBCLIENT|instance=user_oradb}|user_oradb|user_oradb,20f5f451,Successfully added directory : <*>
64,2021-12-20,15:50:40.529,PST,INFO,26127-1,TFADirectoryManager,"Successfully added directory : /scratch/u01/app/db_base/diag/rdbms/orcl/orcl1/cdump| RDBMS |{RDBMS|instance=orcl1, RDBMS|database=orcl}|orcl|orcl1",20f5f451,Successfully added directory : <*>
65,2021-12-20,15:50:41.540,PST,INFO,26127-1,TFADirectoryManager,"Successfully added directory : /scratch/u01/app/db_base/diag/rdbms/orcl/orcl1/trace| RDBMS |{RDBMS|instance=orcl1, RDBMS|database=orcl}|orcl|orcl1",20f5f451,Successfully added directory : <*>
66,2021-12-20,15:50:41.550,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/db_base/diag/tnslsnr| TNS |null||,20f5f451,Successfully added directory : <*>
67,2021-12-20,15:50:42.563,PST,INFO,26127-1,TFADirectoryManager,"Successfully added directory : /scratch/u01/app/grid/product/cfgtoollogs| CFGTOOLS, ODAPATCHING |null||",20f5f451,Successfully added directory : <*>
68,2021-12-20,15:50:42.593,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid/product/install| INSTALL |null||,20f5f451,Successfully added directory : <*>
69,2021-12-20,15:50:42.606,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid/product/inventory/ContentsXML| INSTALL |null||,20f5f451,Successfully added directory : <*>
70,2021-12-20,15:50:42.651,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid/product/log/den00xrz| CRS |null||,20f5f451,Successfully added directory : <*>
71,2021-12-20,15:50:42.659,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid/product/log/den00xrz/afd| ACFS |null||,20f5f451,Successfully added directory : <*>
72,2021-12-20,15:50:42.666,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid/product/log/den00xrz/acfs| ACFS |null||,20f5f451,Successfully added directory : <*>
73,2021-12-20,15:50:42.672,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid/product/rdbms/log| ASM |null||,20f5f451,Successfully added directory : <*>
74,2021-12-20,15:50:42.686,PST,INFO,26127-1,TFADirectoryManager,"Successfully added directory : /scratch/u01/app/grid_base/cfgtoollogs| CFGTOOLS, ODAPATCHING |null||",20f5f451,Successfully added directory : <*>
75,2021-12-20,15:50:42.694,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/crsdata/den00xrz/acfs| ACFS |null||,20f5f451,Successfully added directory : <*>
76,2021-12-20,15:50:43.702,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/crsdata/den00xrz/core| CRS |null||,20f5f451,Successfully added directory : <*>
77,2021-12-20,15:50:44.879,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/crsdata/den00xrz/crsconfig| CRS |null||,20f5f451,Successfully added directory : <*>
78,2021-12-20,15:50:45.893,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/crsdata/den00xrz/crsdiag| CRS |null||,20f5f451,Successfully added directory : <*>
79,2021-12-20,15:50:45.902,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/crsdata/den00xrz/cvu| CRS |null||,20f5f451,Successfully added directory : <*>
80,2021-12-20,15:50:45.907,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/crsdata/den00xrz/evm| CRS |null||,20f5f451,Successfully added directory : <*>
81,2021-12-20,15:50:45.921,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/crsdata/den00xrz/output| CRS |null||,20f5f451,Successfully added directory : <*>
82,2021-12-20,15:50:45.932,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/crsdata/den00xrz/trace| CRS |null||,20f5f451,Successfully added directory : <*>
83,2021-12-20,15:50:46.942,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/crsdata/den00xrz/trace/chad| CHA |null||,20f5f451,Successfully added directory : <*>
84,2021-12-20,15:50:46.952,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/diag/asm/+asm/+ASM1/cdump| ASM |{ASM|instance=+ASM1}||+ASM1,20f5f451,Successfully added directory : <*>
