EventId,EventTemplate,Occurrences
250948a3,"Action persisted : runinventory, Status : FAILED-Duplicate run",1
32e3ac8f,orarom : Not Found in system,1
c2d7a233,Repository is Open,3
3e992f10,Updating Inventory Status to COMPLETE and Action to COMPLETED,11
7812b09b,Time taken to run Inventory in seconds : <*>,11
24a0d96a,ERROR TFA is not yet secured to run all commands den<*>xrz:ddurefreshconfig:cron,2
08f78d52,Action readtfactldbutlschedule needs to be refreshed (initial task).,3
c4840c58,InstanceMonitor restarting scanner:,1
c1355402,Added instance: <*> for <*>,18
b7c9d478,SCAN : File to process : <*><*><*><*><*><*><*><*><*><*>,9
7a850649,Instance: <*> getting oracle home from exe,6
ee6b040d,Instance: <*> ohome: <*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*>,6
4806f33a,Not tailing alert log <*>,9
9877190c,Running in Real Time Tail Mode for :<*><*><*><*><*><*><*><*><*><*>,9
c28a10b2,Scanning file <*><*><*><*><*><*><*><*><*><*>,3
57fb0805,Starting check point - : <*>,3
a8c2c5f6,Scanning started for - <*><*><*><*><*><*><*><*><*><*>,9
22b5aa7a,Line Contains Release Version:Oracle Database <*>c Enterprise Edition Release <*>.<*>.<*>.<*>.<*> - Production,8
61b8e192,FileEntity Oracle <*> Oracle Ver from str:<*>.<*>.<*>.<*>.<*>,8
4086a91a,"DriverClassMT oracleversion, reset date pattern orclver<*>.",2
7399fc51,DriverClassMT oracleversion fileEntityOracleVersion : <*> fileEntityInstance : <*>,8
c1c4d0ba,DriverClassMT oracleversion from alert log = <*>.<*>.<*>.<*>.<*>,8
f4f9b67b,"DriverClassMT oracleversion, database : <*> instance : <*> component : <*> category : ALERT, type : Alert Log - <*> oracleverion: <*>.<*>.<*>.<*>.<*>",8
9e2fba48,Exception while trying to search index : Empty Index Directory,1
abebf1e6,<*>-<*> TFAIndexerThread Starting indexer thread for index,1
65c94f3b,Instance termination<*>,8
c0328468,Checking FC Event : <*> Component : <*> Arg : <*> Event Date : Mon Dec <*> <*>:<*>:<*> PST <*>,29
c694a7e8,AddCriticalEvent : <*> : <*>,30
073d782a,adding to queue<*>-<*>-<*> <*>:<*>:<*>.<*> ORAROOTAGENT(<*>) CRS-<*>: Agent '<*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*>,1
88c89481,Setting CriticalEventsID for valid Critical Event,30
534f2396,Setting <*> in <*>,3
d5d745ff,"Checking FC Event : Instance terminated, Component : orcl, Arg : null, Event Date : Mon Dec <*> <*>:<*>:<*> PST <*>",1
81456db7,Check incidents cmd: <*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*>,28
f6f6a8f4,Setting <*> <*>,3
4e3ef687,CriticalEventsID : <*>,30
1707c1ae,SRDCCriticalEventsID : <*>,30
fba6e07f,Adding first critical event to criticalEvents and starting TrimzipHandlerThread for event at <*>,2
4eb88c49,Adding critical event: <*> <*> <*> <*> <*> <*>,4
77474370,Starting <*> <*>,3
65c7bef9,Root element :auto_srdcs,2
9b03e47b,Node List size :<*>,2
7518d9e9,Adding AutoSRDC : Name ->ora<*>Filename -> srdc<*>time,16
f409e22f,isNonSRDCEvent - <*>,30
bbac7bd8,Adding event to localEventsForMC on den<*>xrz,21
be878e33,Adding event to localEventsForMC with collection id <*> - <*> <*> <*> <*> <*> <*>,6
46f5ada1,AddToCriticalEvents collectionId - <*>,30
74df8d8e,Added CriticalEvent - Collection ID : <*>den<*>xrz,30
1a8a3983,"Indexing the record - {""data<*>id"": <*> <*> <*> <*> <*> <*> <*> <*>",3
36cc7433,Starting : criticalEventsID : <*>,2
5f7d79f4,Sleeping for <*> minutes to collect events,2
024436c3,"adding to queueInstance terminated by USER, pid = <*>, Event NameInstance terminated",1
2b65e3e5,CriticalEvents is not null size : <*>,28
d74e30e0,Adding critical event: <*> <*> <*> <*> <*> <*> <*> <*>-<*>-<*>T<*>:<*>:<*>Z,3
4dab5a43,Setting merged collection variables to den<*>xrz:<*>,2
dadf6cfc,Merged collection <*> <*> <*>,19
c2a25585,Adding event to localEventsForMC with collection id <*> - <*> <*> <*> <*> <*> <*> <*>,3
25054522,"Indexing the record - {""data<*>path"": <*>",27
e31d15fb,DriverClassMT oracleversion from fileEntity = <*>.<*>.<*>.<*>.<*>,6
a614dfbf,adding to <*> ALTER DISKGROUP ALL DISMOUNT <*>/<*><*>,2
05ccf2ee,"Suptools directories to be purged : orachk, exachk, managelogs, atpcanary, atpdcaglp",2
554afc25,Suptools Directory : <*>,10
9c4818fb,Suptools user directory for <*> : <*>,24
ef3f7a4a,Action readtfactldbutlschedule completed (initial task).,3
8d401359,Action readtfactldbutlschedule completed.,3
bd3e9f15,Sleeping for <*> seconds before starting TFA DBA Utilities Checker.,3
79ade579,Set Resources Limit Command : <*><*><*><*><*><*><*>,3
dc96a864,Running Command : <*>,28
0f447a48,"Response from setting default resource limits: Tool: tfa, Resource: cpu, Limit value: <*>.<*> set successfully",3
e226ef20,Recieved Signal: SIGTERM,2
508495e5,Handling Signal: SIGTERM,2
88a10783,Socket closed,2
6008e7cf,Orachk Executable : <*><*><*><*>,2
81a026e6,Orachk Data Dir : <*><*><*><*><*>,2
4b53c664,Waiting for Real Time Scanner to stop...,18
2a27504e,Not Starting Rediscovery Thread since discovery feature flag is disabled,2
549a03f3,"interruptRTScan, Saving the restart point: <*> for file: <*><*><*><*><*><*><*><*><*><*>",18
1f7f3dc5,TFAMasterNodePollingThread: Completed,2
da8c5ac9,TFAInventoryDirectoryMonitor run is over,2
a1d8ba15,Removing Instance <*> File : <*><*><*><*><*><*><*><*><*><*>,6
42ce43d1,DriverMT: Completed : <*><*><*>,6
371966c8,Received Message to shutdown,4
f513bd4f,ConnectionAcceptor is Interrupted,2
4293ab16,Created port mapping from file {den<*>xrz=<*>},2
f7eb9043,Repository already configured to <*><*><*><*>,2
db7db22a,"Checking if inventory run exists for this host already : Status : COMPLETE, Last run ended on : Mon Dec <*> <*>:<*>:<*> PST <*>",2
ef21d579,Inventory Run already exists : false COMPLETE,2
