EventId,EventTemplate,Occurrences
2ace720b,"Initiating Events metadata : {str=ORA-<*>: soft internal error, arguments: <*> , , , , collectionType=auto, searchString=.*ORA-<*>.*, fileName=<*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*>",1
6f320acd,Event metadata <*> <*>,50
19431eb3,Event metadata ST: ORA-<*>: <*> <*> <*> <*> <*> <*> <*> <*>,8
e063685c,Event metadata ST: ORA-<*>: <*> <*> <*> <*>,2
08a8657c,"Event metadata ST: ORA-<*>: internal error code, arguments: dbgtu:self<*>test , fake assert , , , , , , , , , ,",1
683c5cbc,DATAorg.glassfish.json.JsonArrayBuilderImpl@<*>,1
db9907c0,Notification from AutoSRDC's,1
31b5328e,Result file not found,2
66587959,File Owner: oradb User Address: null,18
652808e0,srdcCriticalEventsIDMap after clearing : {},1
a3ccaccc,compositeEvents: <*>-<*>-<*>T<*>:<*>:<*>Z,17
b56a2650,Starting Auto Collect with start : Mon Dec <*> <*>:<*>:<*> PST <*> and end : Mon Dec <*> <*>:<*>:<*> PST <*>,1
4867ee5d,RunningAutoCollections:,1
7329a685,Replaced rdbms component with databases orcl,1
0cb62d8d,Adding cha to AutoCollect Args,1
f8c179df,Args before any cell addition: -from Dec<*><*><*><*>,1
6460274b,Args for AutoCollect : -from Dec<*><*><*><*>,1
f7045bf0,"Metadata : {str=ORA-<*>: archiver error, collectionType=auto, searchString=.*ORA-<*>(<*>|<*>|<*>|<*>|<*>).*, fileName=<*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*>",1
2bbbee86,Done processing events,1
52da9c85,"Components in Entity : rdbms, os, crs, tns, asm, asmproxy, asmio, cha, cfgtools, afd",1
e7c0d3bb,"startDate : Mon Dec <*> <*>:<*>:<*> PST <*> endDate : Mon Dec <*> <*>:<*>:<*> PST <*> zipFileShortName : tfa<*><*>.zip components : {rdbms= orcl , os=null, crs=null, tns=null, asm=null, cha=null, asmproxy=null, asmio=null, cfgtools=null, afd=null} actions : {rdbms= orcl , os=null, crs=null, asm=null, cha=null, afd=null} remoteHosts : den<*>xrz chmNodelist : isClusterRequest : true isTrimOn : true isACRSanitize: falseisACRMask: false noCore : true isNologs : false request user : root",1
5b71172a,"Initiating Events metadata : {str=ORA-<*>: archiver error, collectionType=auto, searchString=.*ORA-<*>(<*>|<*>|<*>|<*>|<*>).*, fileName=<*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*>",1
185533f5,Event metadata ST: ORA-<*>: archiver error,1
5fdbb1f2,Event metadata SS: .*ORA-<*>(<*>|( <*>-<*> <*>-<*> |<*>( <*>-<*> | <*>-<*> ))).*,2
b095eefa,Event metadata ST: ORA-<*>: <*> <*> <*> <*> <*>,3
2d01e144,Event metadata ST: ORA-<*>: enqueue held for too long more than seconds by osid,1
d3c66346,"Event metadata ST: ORA-<*>: index key not found, obj <*>, file <*>, block <*>",1
736101bb,Event metadata ST: ORA-<*>: <*> <*> <*> <*> <*> <*> <*>,6
1878feb4,Event metadata ST: ORA-<*>: <*> <*> <*> <*> <*> <*>,2
efd30a96,Event metadata ST: ORA-<*>: global enqueue process LMS (OSID <*>) is hung for more than <*> seconds,1
a14e6d91,DATAorg.glassfish.json.JsonArrayBuilderImpl@<*>f<*>,1
273b4cdf,DATAorg.glassfish.json.JsonArrayBuilderImpl@<*>fa<*>f<*>d<*>,1
11275385,Action args in DiagCollection: -since <*>h -database all -rdbms -asm -crsclient -dbclient -dbwlm -tns -rhp -cvu -afd -crs -cha -wls -emagenti -emagent -oms -omsi -ocm -emplugins -em -acfs -install -cfgtools -os -sosreport -qos -dataguard -rdbms -asm -crsclient -dbclient -dbwlm -tns -rhp -procinfo -cvu -afd -crs -cha -wls -emagenti -emagent -oms -omsi -ocm -emplugins -em -acfs -install -cfgtools -os -ashhtml -ashtext -awrhtml -awrtext -sosreport -qos -ahf -dataguard -chmos -compliance -monitor -node all -copy -logid <*> -z tfa<*>nr :<*>den<*>xrz,1
ced51cc2,flags for diagcollect -since <*>h -database all -rdbms -asm -crsclient -dbclient -dbwlm -tns -rhp -cvu -afd -crs -cha -wls -emagenti -emagent -oms -omsi -ocm -emplugins -em -acfs -install -cfgtools -os -sosreport -qos -dataguard -rdbms -asm -crsclient -dbclient -dbwlm -tns -rhp -procinfo -cvu -afd -crs -cha -wls -emagenti -emagent -oms -omsi -ocm -emplugins -em -acfs -install -cfgtools -os -ashhtml -ashtext -awrhtml -awrtext -sosreport -qos -ahf -dataguard -chmos -compliance -monitor -node all -copy -logid <*> -z tfa<*>nr,1
cc60ad29,"Components to Inventory : OMSI, EMAGENT, ACFS, ASMPROXY, CRSCLIENT, EMAGENTI, OMS, DBWLM, OCM, PROCINFO, CHA, AFD, CFGTOOLS, DBCLIENT, RDBMS, OS, CRS, EM, ASMIO, DATAGUARD, INSTALL, TNS, ASM, RHP, EMPLUGINS, WLS",1
24f85293,"Components in Entity : omsi, emagent, acfs, ashhtml, ashtext, asmproxy, sosreport, crsclient, emagenti, oms, qos, dbwlm, ocm, procinfo, cha, cfgtools, afd, ahf, awrtext, dbclient, rdbms, cvu, awrhtml, os, crs, em, chmos, asmio, dataguard, install, compliance, tns, asm, rhp, emplugins, wls",1
2e8d30fe,"startDate : Mon Dec <*> <*>:<*>:<*> PST <*> endDate : Mon Dec <*> <*>:<*>:<*> PST <*> zipFileShortName : tfa<*><*>.zip components : {omsi=null, emagent=null, acfs=null, asmproxy=null, crsclient=null, emagenti=null, oms=null, dbwlm=null, ocm=null, procinfo=null, cha=null, afd=null, cfgtools=null, dbclient=null, rdbms=null, os=null, crs=null, em=null, asmio=null, dataguard=null, install=null, tns=null, asm=null, rhp=null, emplugins=null, wls=null} actions : {awrtext=null, acfs=null, rdbms=null, cvu=null, awrhtml=null, os=null, crs=null, ashhtml=null, chmos=null, ashtext=null, sosreport=null, dataguard=null, qos=null, compliance=null, asm=null, procinfo=null, cha=null, afd=null, ahf=null} remoteHosts : den<*>xrz chmNodelist : isClusterRequest : true isTrimOn : true isACRSanitize: falseisACRMask: false noCore : true isNologs : false request user : oradb",1
20cc13f3,"Components with ADR :{omsi=null, emagent=null, acfs=null, asmproxy=null, crsclient=null, emagenti=null, oms=null, dbwlm=null, ocm=null, procinfo=null, cha=null, afd=null, cfgtools=null, dbclient=null, rdbms=null, os=null, crs=null, em=null, asmio=null, dataguard=null, install=null, tns=null, asm=null, rhp=null, emplugins=null, wls=null}",1
